"Id","Position","First Name","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"11761","QB","Thaddeus","Lewis","0","0","5000","PHI@CAR","PHI","CAR","","","",""
"14952","K","Dan","Bailey","7.4","5","5000","DAL@NYG","DAL","NYG","","","",""
"45723","TE","Crockett","Gillmore","9.2","4","5000","BAL@ARI","BAL","ARI","","","",""
"14358","WR","Dwayne","Harris","4.6","6","5000","DAL@NYG","NYG","DAL","","","",""
"29780","TE","Zach","Ertz","5","6","5000","PHI@CAR","PHI","CAR","","","",""
"38269","RB","Cameron","Artis-Payne","1","3","4900","PHI@CAR","CAR","PHI","","","",""
"30807","TE","Mychal","Rivera","2.2","5","4900","OAK@SD","OAK","SD","","","",""
"21952","WR","Michael","Floyd","4.7","6","4900","BAL@ARI","ARI","BAL","","","",""
"54612","RB","Lorenzo","Taliaferro","5.4","3","4900","BAL@ARI","BAL","ARI","IR","Foot","",""
"24569","K","Chandler","Catanzaro","8.8","6","4900","BAL@ARI","ARI","BAL","","","",""
"30261","K","Caleb","Sturgis","9","3","4900","PHI@CAR","PHI","CAR","","","",""
"23045","K","Justin","Tucker","10","6","4800","BAL@ARI","BAL","ARI","","","",""
"22187","QB","Chandler","Harnish","0","0","4800","BAL@ARI","ARI","BAL","","","",""
"12553","D","Carolina","Panthers","10.6","5","4800","PHI@CAR","CAR","PHI","","","",""
"29605","QB","Matt","Barkley","0","1","4800","BAL@ARI","ARI","BAL","","","",""
"10354","RB","Marcel","Reece","8.4","5","4800","OAK@SD","OAK","SD","","","",""
"11615","QB","Joe","Webb","0","5","4800","PHI@CAR","CAR","PHI","","","",""
"7975","RB","Mike","Tolbert","2.9","5","4800","PHI@CAR","CAR","PHI","","","",""
"10744","K","Graham","Gano","8.4","5","4700","PHI@CAR","CAR","PHI","","","",""
"37245","RB","Foswhitt","Whittaker","1.7","5","4700","PHI@CAR","CAR","PHI","","","",""
"7831","K","Sebastian","Janikowski","8","5","4700","OAK@SD","OAK","SD","","","",""
"28486","WR","Corey (Philly)","Brown","4.4","5","4700","PHI@CAR","CAR","PHI","","","",""
"25886","WR","Devin","Street","0.8","5","4700","DAL@NYG","DAL","NYG","","","",""
"39445","WR","Brice","Butler","2.4","3","4700","DAL@NYG","DAL","NYG","P","Hamstring","",""
"32429","K","Josh","Lambo","8.7","6","4700","OAK@SD","SD","OAK","","","",""
"47640","RB","Branden","Oliver","2.3","6","4700","OAK@SD","SD","OAK","","","",""
"6742","TE","Brent","Celek","3.4","6","4700","PHI@CAR","PHI","CAR","","","",""
"6522","K","Josh","Brown","9.7","6","4700","DAL@NYG","NYG","DAL","","","",""
"29827","TE","Joseph","Fauria","2.6","7","4600","BAL@ARI","ARI","BAL","","","",""
"28346","TE","Maxx","Williams","2.8","6","4600","BAL@ARI","BAL","ARI","O","Knee","",""
"47953","WR","Lucky","Whitehead","0","4","4600","DAL@NYG","DAL","NYG","","","",""
"28080","WR","Devin","Funchess","1.7","5","4600","PHI@CAR","CAR","PHI","","","",""
"6688","WR","Jerricho","Cotchery","5.7","3","4600","PHI@CAR","CAR","PHI","","","",""
"38301","TE","Darren","Fells","5.2","6","4600","BAL@ARI","ARI","BAL","O","Shoulder","",""
"62628","WR","DeAndre","Carter","0","0","4500","OAK@SD","OAK","SD","","","",""
"62631","RB","Gus","Johnson","0","0","4500","DAL@NYG","DAL","NYG","","","",""
"6567","TE","David","Johnson","0","6","4500","OAK@SD","SD","OAK","","","",""
"14837","WR","Jeremy","Ross","4.3","2","4500","BAL@ARI","BAL","ARI","","","",""
"34125","WR","Geremy","Davis","0.5","6","4500","DAL@NYG","NYG","DAL","","","",""
"23055","TE","Brandon","Bostick","0.6","13","4500","BAL@ARI","ARI","BAL","","","",""
"25561","WR","Michael","Campanaro","3.4","4","4500","BAL@ARI","BAL","ARI","IR","Back","",""
"25775","TE","Clive","Walford","1.1","5","4500","OAK@SD","OAK","SD","","","",""
"30385","WR","Marlon","Brown","2.2","6","4500","BAL@ARI","BAL","ARI","","","",""
"11431","TE","Jermaine","Gresham","1.3","6","4500","BAL@ARI","ARI","BAL","","","",""
"38517","RB","Dreamius","Smith","0","0","4500","OAK@SD","SD","OAK","","","",""
"6823","TE","John","Phillips","2","6","4500","OAK@SD","SD","OAK","","","",""
"34154","WR","Jamarcus","Nelson","-1","2","4500","BAL@ARI","ARI","BAL","","","",""
"6868","TE","Daniel","Fells","4.5","2","4500","DAL@NYG","NYG","DAL","IR","Ankle","",""
"64014","WR","Avius","Capers","0","0","4500","PHI@CAR","CAR","PHI","","","",""
"39411","TE","Gavin","Escobar","1.7","5","4500","DAL@NYG","DAL","NYG","","","",""
"31036","WR","Kevin","Norwood","0","1","4500","PHI@CAR","CAR","PHI","","","",""
"29357","RB","Kenjon","Barner","0","3","4500","PHI@CAR","PHI","CAR","","","",""
"15032","RB","Henry","Hynoski","0.1","16","4500","DAL@NYG","NYG","DAL","","","",""
"22181","TE","David","Paulson","0","0","4500","OAK@SD","SD","OAK","","","",""
"25011","WR","Darren","Waller","0.6","5","4500","BAL@ARI","BAL","ARI","P","Concussion","",""
"64045","WR","Trent","Steelman","0","0","4500","BAL@ARI","BAL","ARI","","","",""
"11488","TE","Ed","Dickson","3.2","5","4500","PHI@CAR","CAR","PHI","","","",""
"22198","WR","Brittan","Golden","0","4","4500","BAL@ARI","ARI","BAL","P","Groin","",""
"12555","D","Baltimore","Ravens","6.2","6","4500","BAL@ARI","BAL","ARI","","","",""
"6684","WR","Jacoby","Jones","0","3","4500","OAK@SD","SD","OAK","","","",""
"62510","TE","Nick","Boyle","1.6","6","4500","BAL@ARI","BAL","ARI","","","",""
"6660","RB","Donald","Brown","0","1","4500","OAK@SD","SD","OAK","","","",""
"12543","D","New York","Giants","7.8","6","4500","DAL@NYG","NYG","DAL","","","",""
"39428","RB","Kyle","Juszczyk","3.7","6","4500","BAL@ARI","BAL","ARI","","","",""
"22123","TE","James","Hanna","0.4","3","4500","DAL@NYG","DAL","NYG","P","Ankle","",""
"44560","TE","Alex","Bayer","0","6","4500","OAK@SD","SD","OAK","","","",""
"33691","RB","Orleans","Darkwa","0","6","4500","DAL@NYG","NYG","DAL","","","",""
"29723","RB","Stepfan","Taylor","0.4","6","4500","BAL@ARI","ARI","BAL","","","",""
